ID,channel,offset,exponent,error_mae,gof_rsquared,dataset
159,dataset11_04L,-2.5017466359061014,1.1680262414963578,0.04121545936163062,0.9836202745357506,source HD-EEG
160,dataset11_05R,-2.783538533209702,1.0391156431721096,0.11341711885402683,0.919718094978511,source HD-EEG
161,dataset11_05L,-2.8434905266666557,1.1012303382902517,0.11284473791187624,0.9339422856152589,source HD-EEG
162,dataset11_06R,-3.0159743442341664,0.6397609868840234,0.09168370142792506,0.8711220561690998,source HD-EEG
163,dataset11_06L,-3.653209955298073,0.6305550255108867,0.06701098612869441,0.9147169797788369,source HD-EEG
164,dataset11_07R,-2.5924554586257953,1.2113715200520399,0.04851838086366973,0.988684318799322,source HD-EEG
165,dataset11_07L,-2.747082939944391,1.1953644388664753,0.043205896020158376,0.9822528477765787,source HD-EEG
166,dataset11_08R,-2.8476798752755834,0.6682906049336202,0.09838272857719983,0.8411258721749023,source HD-EEG
167,dataset11_08L,-3.593944608457746,0.6618813237141332,0.07553312509561413,0.9082865737706676,source HD-EEG
168,dataset11_09R,-3.311632589452199,0.7982164771422119,0.07969502110179262,0.9248626269391569,source HD-EEG
169,dataset11_09L,-2.872175966013235,0.7483303627935485,0.08787665440544047,0.8755917244280859,source HD-EEG
170,dataset11_10R,-2.8059840525086734,1.0405909634135475,0.04534490804797734,0.9853346456947648,source HD-EEG
171,dataset11_10L,-3.182167774431523,0.9699085300965797,0.07397135450744013,0.9418177577178145,source HD-EEG
172,dataset11_11R,-2.137518922715682,1.4028807385928652,0.10345676816736372,0.9540637214737412,source HD-EEG
173,dataset11_11L,-2.290381308822224,1.3921280231087982,0.10625052575985298,0.9536083707740078,source HD-EEG
174,dataset11_12R,-2.3148183232579065,1.4606577793776314,0.1113982934804083,0.9508817672256614,source HD-EEG
175,dataset11_12L,-2.7068122100435543,1.422783239275429,0.046611956550296735,0.9871885988863863,source HD-EEG
176,dataset11_13R,-2.9231033323105957,1.0518352815746406,0.09995564838334782,0.9032505827120155,source HD-EEG
177,dataset11_13L,-3.176022187693885,0.5691221354194469,0.12541237928587057,0.7587237424225173,source HD-EEG
178,dataset11_14R,-3.1062862940835747,0.9698342686056977,0.0859648687309402,0.9307141918407424,source HD-EEG
179,dataset11_14L,-2.668300770055552,0.9381573009957404,0.09343518500017367,0.9243404878071924,source HD-EEG
180,dataset11_15R,-2.5628667738207027,0.6910004447007689,0.06543975548825344,0.9293152731257607,source HD-EEG
181,dataset11_15L,-2.150051949596721,0.9706820080585522,0.09607779039837615,0.8998893263525345,source HD-EEG
182,dataset11_16R,-3.4511146485026725,1.0000257473433753,0.060356215808188264,0.95434395415418,source HD-EEG
183,dataset11_16L,-3.4447183568644286,0.791690873361612,0.06208502453668729,0.9398112178752083,source HD-EEG
184,dataset11_17R,-2.5017402503354793,1.1932428937680304,0.05358703318712379,0.9804688531438882,source HD-EEG
185,dataset11_17L,-2.763303999990421,1.2299255969860452,0.08866782956116533,0.9483213936388704,source HD-EEG
186,dataset11_18R,-2.7331145561272976,1.3057404236998582,0.04539474451721867,0.9898139260503995,source HD-EEG
187,dataset11_18L,-2.4352198529021107,1.3227484621679064,0.049885560716054385,0.9852851698945979,source HD-EEG
188,dataset11_19R,-2.748702055375864,0.7210098334018042,0.06295313433995914,0.9405253629160757,source HD-EEG
189,dataset11_19L,-3.3507666697379332,0.5898579563432991,0.06090161459728737,0.9356588696918202,source HD-EEG
190,dataset11_20R,-2.8196234691729796,0.7664202904860659,0.09303802545284906,0.8861571338500307,source HD-EEG
191,dataset11_20L,-3.0935700810548314,0.6383352757716535,0.09148725397528297,0.8716230756250581,source HD-EEG
192,dataset11_21R,-2.6778244803190066,0.9456738485819389,0.10829100201303635,0.8716782445449063,source HD-EEG
193,dataset11_21L,-2.518483830325535,0.7307422166633126,0.12793865436949622,0.7670677465764435,source HD-EEG
194,dataset11_22R,-2.803685178860614,0.8810790451810944,0.10240855976288103,0.8662468712235679,source HD-EEG
195,dataset11_22L,-3.1409829302869516,0.5429637229662885,0.11606227048894324,0.6658399585321462,source HD-EEG
196,dataset11_23R,-2.918472968533978,0.6076481166496438,0.1133617228190104,0.7045383233482821,source HD-EEG
197,dataset11_23L,-2.8222014196518135,0.6151983033562637,0.1146150427966437,0.6973355193990579,source HD-EEG
198,dataset11_24R,-3.0641838104703076,0.4859056487432927,0.06617694888988583,0.8909540074663735,source HD-EEG
199,dataset11_24L,-3.156381209937799,0.4308402859176089,0.06401334105070193,0.9126953160443724,source HD-EEG
200,dataset11_25R,-3.766191649386072,0.4717470846215196,0.06586769146830229,0.8891871992053036,source HD-EEG
201,dataset11_25L,-3.0844203338326612,0.8518398879166319,0.07788780013505128,0.92336210950277,source HD-EEG
202,dataset11_26R,-2.5308536760953046,1.08180976446866,0.07152758281583395,0.9625283495777557,source HD-EEG
203,dataset11_26L,-2.4460293502823203,1.1216805354828758,0.06026340756172113,0.9713452393866536,source HD-EEG
204,dataset11_27R,-3.388886290059284,0.9854428598618501,0.06663243869162422,0.957433630033931,source HD-EEG
205,dataset11_27L,-3.0338293381276946,0.8586869085277071,0.05971555261343288,0.955301239024196,source HD-EEG
206,dataset11_28R,-2.1420422765400633,1.511765074571763,0.0446556601755526,0.98904798673325,source HD-EEG
207,dataset11_28L,-2.1720849089537477,1.4581713560696161,0.04742457028436044,0.986077775700008,source HD-EEG
208,dataset11_29R,-3.3956680618261057,0.44952806645996374,0.11227062855201776,0.6951717510224797,source HD-EEG
209,dataset11_29L,-3.5516107884234005,0.666061794689237,0.09351994358755146,0.8573168923770947,source HD-EEG
210,dataset11_30R,-2.9214044991370884,0.6524514890464341,0.12769499397383974,0.7313176992881343,source HD-EEG
